,review_text,review_date,review_title,review_stars,product_category
0,Battery no long life... Within half an hour.. Full off.. Also& others good.. .!,Reviewed in India 🇮🇳 on 22 June 2023,"3.0 out of 5 stars
Ok....",3.0 out of 5 stars,Toys & Games
1,Quality is good,Reviewed in India 🇮🇳 on 17 May 2023,"4.0 out of 5 stars
Quality is good",4.0 out of 5 stars,Toys & Games
2,Device is not  charging with charger provided in the box. After changing charger it worked but low battery run. Buy with ready for unexpected surprises,Reviewed in India 🇮🇳 on 24 May 2023,"2.0 out of 5 stars
Device NOT charging with charger in the box",2.0 out of 5 stars,Toys & Games
3,,Reviewed in India 🇮🇳 on 10 March 2023,"4.0 out of 5 stars
Nice gaming handhel and good for the price.",4.0 out of 5 stars,Toys & Games
4,Not buy.  Waste of money,Reviewed in India 🇮🇳 on 9 June 2023,"2.0 out of 5 stars
Product",2.0 out of 5 stars,Toys & Games
5,"With 400 classic games included, this console provides endless hours of entertainment. The games are easy to navigate and play, and the graphics and sound quality are impressive for an 8-bit console.One of the best features is the console's compatibility with TV. Being able to connect it to the TV adds another level of excitement to gaming. Additionally, it's convenient that the console is rechargeable.Overall, I am extremely satisfied with the VGRASSP Handheld Video Game Console. It's definitely worth the price, and it has exceeded my expectations in terms of design, game selection, and performance. I would highly recommend it to anyone looking for a fun and nostalgic gaming experience.",Reviewed in India 🇮🇳 on 3 May 2023,"5.0 out of 5 stars
VGRASSP Handheld Video Game Console: A Great Buy for Fun and Nostalgic Gaming",5.0 out of 5 stars,Toys & Games
6,It wasn't working even after 12 hours of charging!!!!,Reviewed in India 🇮🇳 on 18 April 2023,"2.0 out of 5 stars
Not that good",2.0 out of 5 stars,Toys & Games
7,"The VGRASSP Handheld Video Game is a fun and compact device that offers a variety of classic games to play on-the-go. Its pocket-sized design makes it easy to carry around, and the built-in rechargeable battery ensures hours of gameplay. The graphics and sound are decent for a retro-style device, and the controls are responsive and easy to use. Overall, the VGRASSP Handheld Video Game is a great choice for anyone looking for a nostalgic gaming experience at an affordable price.",Reviewed in India 🇮🇳 on 21 May 2023,"5.0 out of 5 stars
Best product",5.0 out of 5 stars,Toys & Games
8,It's a substantard product. Not worth the money.,Reviewed in India 🇮🇳 on 11 March 2023,"2.0 out of 5 stars
Substandard product, avoid",2.0 out of 5 stars,Toys & Games
9,I RETUNRED THIS PRODUCT BECOUSE THE BATTERY IS NOT LASTINGit will be drain when play 3 games,Reviewed in India 🇮🇳 on 21 September 2022,"3.0 out of 5 stars
low battery backup",3.0 out of 5 stars,Toys & Games
10,"This video game residing 400 classic and vivid games which can be easily carried in your pocket. Built quality is great. Easy to use and also convenient. mini video game comes along with a manual, battery, Av cable, USB. All 400 games are running very smoothly without any lagging issue. Rechargeable, Compact and portable. Battery backup is amazing and also charged fastly. Value for money.",Reviewed in India on 20 May 2023,"5.0 out of 5 stars
Portable and easy to use. Built quality and battery life is amazing.",5.0 out of 5 stars,Toys & Games
11,The video game reminds me of my childhood. There is no difference in any game that we used to play on video game in our childhood.The product built quality is very good. Loud sound and clear viewing screen.Used 3-4 days and works perfectly fine. Purchased it for my 6 years old son.,Reviewed in India on 22 May 2023,"5.0 out of 5 stars
Worth buy!!! Good Built Quality",5.0 out of 5 stars,Toys & Games
12,"Bought this for myself to relive my childhood memories. This console have all the games like contra, mario, galaxy etc. a great time pass. Best thing abt this is thst it runs on battery that can be charged and not cells.",Reviewed in India on 27 May 2023,"5.0 out of 5 stars
Brought back old memories",5.0 out of 5 stars,Toys & Games
13,I loved it,Reviewed in India on 13 June 2023,"5.0 out of 5 stars
Best",5.0 out of 5 stars,Toys & Games
14,"One of the best features is the console's compatibility with TV. Being able to connect it to the TV adds another level of excitement to gaming. Additionally, it's convenient that the console is rechargeable. it has exceeded my expectations in terms of design, game selection, and performance.",Reviewed in India on 20 May 2023,"5.0 out of 5 stars
Good product",5.0 out of 5 stars,Toys & Games
15,This is amazing game with 400 games in it and its compact can be fit in a pocket easily and the wires are of good quality and attachable with TV  u can play on big screen and kids just love it and the quality of resolution is good too.....highly impressed.,Reviewed in India on 14 May 2023,"5.0 out of 5 stars
This is an amazing game",5.0 out of 5 stars,Toys & Games
16,"Reminds me of the childhood, now my kid enjoys it!The quality is good, easy to hold and play, almost 400 different types of games to play, would definitely recommend if you remember playing Mario and other vintage games!",Reviewed in India on 16 May 2023,"5.0 out of 5 stars
Great product!",5.0 out of 5 stars,Toys & Games
17,"Product is extremely good, I didn’t expect to have a childhood video game in this smart sizeGood to have for 90s Kids, quality is good, multiple games. Volume is also decent with up down control",Reviewed in India on 17 May 2023,"5.0 out of 5 stars
Good Product",5.0 out of 5 stars,Toys & Games
18,My childhood reviev again. I used to play lots of games. this give me freedom to play games anywhere. Battry backup is good. Build quality is nice.easy to carry. More then 400games. My kids also loved to Play this.,Reviewed in India on 12 May 2023,"5.0 out of 5 stars
Value for money",5.0 out of 5 stars,Toys & Games
19,"Best hand game, I buy for my son and also for me, fullon 400 games I enjoyed with my children, I connected with my led TV and enjoy a big screening game, I remember my old days with this game, I am loving❤️",Reviewed in India on 8 May 2023,"5.0 out of 5 stars
Best game, remember old memories",5.0 out of 5 stars,Toys & Games
20,Used to play these games when I was a kid and playing them again with the same 8 bit sound and same style of gamepad puts a huge smile on my face,Reviewed in India 🇮🇳 on 17 May 2023,"5.0 out of 5 stars
Brings back old memories",5.0 out of 5 stars,Toys & Games
21,A very interesting game set having 400 video games reminded me of my teenage. My kid loved it. Very easy to play and could b carried everywhere. Console it of good quality.,Reviewed in India 🇮🇳 on 13 May 2023,"5.0 out of 5 stars
Nice game",5.0 out of 5 stars,Toys & Games
22,It works and it's good,Reviewed in India 🇮🇳 on 29 May 2023,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Toys & Games
23,This product very good looking and enjoying I playing the game this product lots of lots game available almost 400 game in a one. Battery life good and display size also good. Childhood memories. Thank to Amazon,Reviewed in India 🇮🇳 on 11 May 2023,"5.0 out of 5 stars
Good product",5.0 out of 5 stars,Toys & Games
24,Not working,Reviewed in India 🇮🇳 on 6 March 2023,"2.0 out of 5 stars
Not good",2.0 out of 5 stars,Toys & Games
25,Very bad quality screen turns blurr. after replacing also 2 days it worked fine and then again screen turns white. Please don't buy it is waste of money. Products are not brand new used pieces are being sent. Seller is cheating.Amazon needs to take care of this.,Reviewed in India 🇮🇳 on 20 May 2023,"1.0 out of 5 stars
Bad quality stops working after 3 days",1.0 out of 5 stars,Toys & Games
26,"Charge is not getting standed even for 10 mins while playing after 2 hours of charge completion, I would like to return this",Reviewed in India 🇮🇳 on 11 June 2023,"1.0 out of 5 stars
Charge standby",1.0 out of 5 stars,Toys & Games
